,date,sun,moon,mercury,venus,mars,jupiter,saturn,uranus,neptune
2000-02-09,2000-02-09,3.621366770483123e+22,1.9244990256735345e+20,4791291815783132.0,4.6464600858930504e+16,2696941036242247.5,1.2369281340492716e+18,1.176909824172262e+17,3532603560604245.5,1880707802754425.5
2000-02-10,2000-02-10,3.620132340061878e+22,1.9690017419585733e+20,5018022368747862.0,4.610398740787492e+16,2682905496511477.5,1.229845540519365e+18,1.1727533679644294e+17,3532824877534926.0,1881249393496605.5
2000-02-11,2000-02-11,3.6188753723013082e+22,2.016845783018485e+20,5269532161603087.0,4.574963903418309e+16,2668997105442785.5,1.222863926318381e+18,1.1686307771668699e+17,3533142026745666.5,1881825202229630.0
2000-02-12,2000-02-12,3.617594526733173e+22,2.067193946287447e+20,5548205514156883.0,4.540140618150797e+16,2655214817295987.0,1.2159830063949755e+18,1.1645428711057325e+17,3533554794304098.5,1882435055116618.8
2000-02-13,2000-02-13,3.616288145462505e+22,2.1183823773021428e+20,5856438791007373.0,4.505914305450119e+16,2641557416440043.5,1.2092024257785864e+18,1.1604904181687294e+17,3534062934690710.5,1883078767032470.5
2000-02-14,2000-02-14,3.6149543324087843e+22,2.1676302222776477e+20,6196543419948854.0,4.4722708442169704e+16,2628023526431107.0,1.2025217590881234e+18,1.1564741336382845e+17,3534666176822119.5,1883756144095120.5
2000-02-15,2000-02-15,3.6135910662618426e+22,2.2109641039731678e+20,6570614982202255.0,4.439196668867493e+16,2614611631133923.5,1.195940512234577e+18,1.1524946786168702e+17,3535364232007802.0,1884466986795605.2
2000-02-16,2000-02-16,3.6121963531634903e+22,2.2435335940624286e+20,6980363684559409.0,4.4066788787795736e+16,2601320112122020.5,1.189458127360053e+18,1.1485526606807968e+17,3536156803913136.0,1885211093678248.0
2000-02-17,2000-02-17,3.6107684153994577e+22,2.2604294849015195e+20,7426903290958597.0,4.374705347400956e+16,2588147305401824.5,1.183073992191026e+18,1.144648637076769e+17,3537043599976876.0,1885988265274128.8
2000-02-18,2000-02-18,3.6093058943190865e+22,2.2579019338678328e+20,7910498893678512.0,4.3432648064618904e+16,2575091575225043.0,1.1767874542987581e+18,1.1407831210212995e+17,3538024342749804.5,1886798307660598.2
2000-02-19,2000-02-19,3.607808028487523e+22,2.234573250249223e+20,8430279276903367.0,4.312346876308657e+16,2562151394987286.5,1.1705978392315953e+18,1.1369565908664347e+17,3539098778840784.5,1887641034822692.8
2000-02-20,2000-02-20,3.606274764075116e+22,2.192081946989186e+20,8983927528208838.0,4.281942022781601e+16,2549325419321800.0,1.1645044697952727e+18,1.1331695008564838e+17,3540266683222092.5,1888516269131906.8
2000-02-21,2000-02-21,3.604706769757689e+22,2.134800758990126e+20,9567374093967998.0,4.252041442249328e+16,2536612531640585.0,1.1585066829055194e+18,1.1294222914864968e+17,3541527857764715.0,1889423839747442.0
