time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-04T14:12:55.430Z,-6.4414,130.0803,162.38,4.5,mb,,69,1.95,0.34,us,us1000i1x7,2018-12-04T15:18:00.040Z,"215km NW of Saumlaki, Indonesia",earthquake,9.1,5,0.135,16,reviewed,us,us
2018-12-04T13:58:38.000Z,10.7502,-86.5446,10,4.5,mb,,215,1.42,0.3,us,us1000i1x3,2018-12-04T15:08:52.040Z,"92km SW of San Juan del Sur, Nicaragua",earthquake,6.8,2,0.083,43,reviewed,us,us
2018-12-04T06:52:59.630Z,2.3156,126.8353,50.73,5.4,mww,,39,1.622,1.29,us,us1000i1qd,2018-12-04T17:11:12.040Z,"145km WNW of Tobelo, Indonesia",earthquake,6.8,6,0.073,18,reviewed,us,us
2018-12-04T06:20:28.620Z,-56.2274,-124.1402,10,5.5,mwb,,113,33.954,1.01,us,us1000i1xx,2018-12-05T21:42:22.344Z,"Southern East Pacific Rise",earthquake,14.5,1.9,0.078,16,reviewed,us,us
2018-12-04T06:06:14.470Z,34.5506,140.1244,58.33,4.7,mb,,120,1.454,0.67,us,us1000i1pp,2018-12-04T08:30:34.380Z,"53km SSE of Tateyama, Japan",earthquake,7.2,2.7,0.13,18,reviewed,us,us
2018-12-03T23:52:12.280Z,-22.7747,-174.3188,10,4.7,mb,,116,5.512,1.28,us,us1000i1is,2018-12-04T00:11:49.040Z,"172km SSE of `Ohonua, Tonga",earthquake,10.5,1.9,0.083,44,reviewed,us,us
2018-12-03T22:27:51.710Z,2.0715,126.6277,45.53,4.8,mb,,99,1.487,1.05,us,us1000i1g9,2018-12-03T22:45:53.040Z,"158km WNW of Tobelo, Indonesia",earthquake,6.3,6.9,0.074,56,reviewed,us,us
2018-12-03T21:24:23.910Z,-22.6754,-174.8886,10,5,mb,,85,5.859,1.31,us,us1000i1f1,2018-12-03T21:53:13.040Z,"148km S of `Ohonua, Tonga",earthquake,10.4,1.8,0.081,49,reviewed,us,us
2018-12-03T20:09:56.120Z,-6.4068,147.4178,65.5,5,mb,,32,2.989,0.89,us,us1000i1cj,2018-12-03T23:50:02.040Z,"54km WNW of Finschhafen, Papua New Guinea",earthquake,4.9,6.6,0.082,47,reviewed,us,us
2018-12-03T20:05:45.550Z,-0.483,67.2913,10,5.4,mww,,37,8.594,1.26,us,us1000i1cg,2018-12-04T15:13:50.040Z,"Carlsberg Ridge",earthquake,3.8,1.8,0.052,36,reviewed,us,us
2018-12-03T19:18:00.300Z,-9.8416,111.8548,10,4.7,mb,,138,2.325,0.88,us,us1000i1b5,2018-12-04T19:17:29.040Z,"172km S of Tambakrejo, Indonesia",earthquake,8.3,1.9,0.087,40,reviewed,us,us
2018-12-03T19:15:18.720Z,39.1276,142.3716,26.01,4.7,mb,,128,1.766,0.69,us,us1000i1ax,2018-12-04T18:52:32.040Z,"44km ESE of Kamaishi, Japan",earthquake,7.6,5.7,0.069,64,reviewed,us,us
2018-12-03T14:41:48.640Z,68.1176,-30.1127,10,4.6,mb,,83,3.746,0.85,us,us1000i171,2018-12-03T16:10:32.040Z,"Eastern Greenland",earthquake,7.4,1.9,0.039,196,reviewed,us,us
2018-12-03T14:00:07.530Z,-7.3565,128.7348,131,5.5,mww,,30,2.616,0.92,us,us1000i16h,2018-12-04T07:23:28.116Z,"292km WNW of Saumlaki, Indonesia",earthquake,6.9,1.9,0.041,57,reviewed,us,us
2018-12-03T09:17:53.370Z,-15.1247,-173.8357,10,4.7,mb,,99,2.331,0.82,us,us1000i139,2018-12-03T13:29:57.040Z,"91km N of Hihifo, Tonga",earthquake,8.3,1.2,0.096,33,reviewed,us,us
2018-12-03T09:07:29.650Z,12.4413,-88.6775,41.46,4.5,mb,,166,1.35,0.67,us,us1000i12y,2018-12-03T20:52:33.451Z,"94km S of Puerto El Triunfo, El Salvador",earthquake,6.3,10.8,0.05,118,reviewed,us,us
2018-12-03T08:15:17.690Z,40.8987,141.3748,89.25,4.6,mwr,,133,0.259,0.88,us,us1000i122,2018-12-03T14:50:17.153Z,"23km N of Misawa, Japan",earthquake,7.6,6.1,0.086,13,reviewed,us,us
2018-12-03T06:04:20.810Z,-6.8989,129.5212,157.01,4.7,mb,,84,2.065,1.03,us,us1000i0zu,2018-12-03T08:18:10.040Z,"229km WNW of Saumlaki, Indonesia",earthquake,7.1,5.2,0.115,23,reviewed,us,us
2018-12-03T05:48:37.360Z,-18.6625,-177.9487,451.97,4.5,mb,,47,3.908,0.84,us,us1000i0zk,2018-12-03T07:51:44.040Z,"233km NNE of Ndoi Island, Fiji",earthquake,11.5,5.9,0.035,238,reviewed,us,us
